Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	1
30	5
31	26
32	107
33	374
34	1020
35	1938
36	2823
37	3490
38	3834
39	3704
40	3190
41	2608
42	2163
43	1847
44	1639
45	1525
46	1505
47	1477
48	1436
49	1372
50	1338
51	1323
52	1374
53	1494
54	1634
55	1769
56	1942
57	2088
58	2252
59	2491
60	2819
61	3128
62	3572
63	4007
64	4269
65	4421
66	4623
67	4729
68	4733
69	4831
70	4969
71	5057
72	5059
73	5002
74	4828
75	4497
76	4010
77	3413
78	2814
79	2305
80	1871
81	1499
82	1237
83	1056
84	881
85	743
86	651
87	602
88	569
89	558
90	558
91	563
92	566
93	574
94	579
95	580
96	570
97	570
98	553
99	540
100	527
101	517
102	497
103	485
104	470
105	475
106	492
107	492
108	502
109	523
110	521
111	525
112	539
113	561
114	568
115	604
116	615
117	624
118	624
119	631
120	629
121	635
122	645
123	661
124	691
125	696
126	710
127	726
128	741
129	736
130	738
131	718
132	689
133	658
134	632
135	619
136	605
137	593
138	589
139	584
140	578
141	592
142	613
143	635
144	658
145	669
146	677
147	674
148	670
149	663
150	661
151	662
152	655
153	642
154	617
155	597
156	561
157	540
158	520
159	505
160	489
161	493
162	494
163	481
164	473
165	465
166	437
167	419
168	409
169	401
170	388
171	392
172	387
173	378
174	377
175	373
176	367
177	368
178	369
179	359
180	357
181	350
182	343
183	337
184	327
185	312
186	304
187	293
188	286
189	290
190	293
191	289
192	291
193	297
194	292
195	289
196	294
197	299
198	303
199	306
200	319
201	334
202	352
203	363
204	385
205	398
206	405
207	414
208	422
209	441
210	474
211	499
212	527
213	575
214	603
215	624
216	674
217	731
218	770
219	811
220	844
221	853
222	850
223	859
224	868
225	878
226	881
227	906
228	917
229	929
230	963
231	1006
232	1029
233	1046
234	1052
235	1040
236	1024
237	1001
238	998
239	984
240	961
241	938
242	928
243	898
244	881
245	880
246	877
247	854
248	840
249	833
250	818
251	822
252	852
253	884
254	924
255	963
256	1001
257	1041
258	1099
259	1160
260	1228
261	1300
262	1354
263	1430
264	1483
265	1571
266	1653
267	1722
268	1765
269	1832
270	1858
271	1892
272	1920
273	1933
274	1921
275	1895
276	1838
277	1821
278	1842
279	1873
280	1910
281	1960
282	1982
283	1985
284	1975
285	1979
286	1971
287	1936
288	1876
289	1825
290	1740
291	1670
292	1599
293	1522
294	1449
295	1393
296	1315
297	1246
298	1193
299	1114
300	1022
301	941
302	863
303	779
304	718
305	663
306	610
307	579
308	535
309	494
310	463
311	435
312	399
313	378
314	347
315	326
316	301
317	276
318	256
319	250
320	233
321	228
322	222
323	211
324	202
325	200
326	192
327	183
328	181
329	166
330	153
331	140
332	133
333	122
334	120
335	118
336	115
337	111
338	107
339	107
340	98
341	94
342	91
343	86
344	77
345	74
346	72
347	71
348	69
349	65
350	62
351	57
352	56
353	56
354	58
355	54
356	52
357	48
358	44
359	41
360	40
361	38
362	35
363	34
364	31
365	29
366	27
367	25
368	24
369	22
370	21
371	18
372	16
373	15
374	12
375	12
376	11
377	10
378	9
379	9
380	8
381	7
382	6
383	5
384	5
385	5
386	6
387	6
388	6
389	6
390	8
391	7
392	7
393	7
394	6
395	5
396	5
397	5
398	5
399	6
400	6
401	5
402	5
403	5
404	4
405	4
406	4
407	4
408	3
409	2
410	3
411	3
412	2
413	2
414	3
415	2
416	3
417	3
418	2
419	3
420	3
421	3
422	2
423	3
424	3
425	2
426	2
427	3
428	3
429	3
430	3
431	2
432	2
433	2
434	3
435	3
436	3
437	3
438	3
439	2
440	2
441	2
442	3
443	2
444	2
445	3
446	3
447	3
448	3
449	3
450	3
