Amplitude (ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	1
45	1
46	3
47	4
48	6
49	9
50	13
51	20
52	33
53	51
54	82
55	125
56	177
57	236
58	306
59	380
60	439
61	503
62	575
63	619
64	636
65	662
66	657
67	632
68	616
69	605
70	599
71	613
72	623
73	654
74	676
75	696
76	691
77	676
78	636
79	627
80	596
81	578
82	572
83	559
84	533
85	521
86	519
87	513
88	524
89	529
90	531
91	525
92	544
93	544
94	554
95	551
96	555
97	543
98	543
99	537
100	537
101	524
102	517
103	514
104	513
105	518
106	542
107	548
108	562
109	568
110	577
111	591
112	603
113	609
114	613
115	609
116	601
117	595
118	586
119	578
120	587
121	576
122	572
123	580
124	588
125	590
126	594
127	609
128	604
129	604
130	593
131	592
132	578
133	570
134	564
135	561
136	548
137	540
138	536
139	526
140	528
141	544
142	563
143	587
144	611
145	635
146	648
147	661
148	670
149	700
150	709
151	726
152	746
153	756
154	737
155	730
156	726
157	718
158	712
159	734
160	738
161	756
162	773
163	811
164	825
165	856
166	862
167	878
168	865
169	870
170	867
171	866
172	858
173	864
174	845
175	845
176	863
177	870
178	891
179	911
180	919
181	920
182	925
183	923
184	929
185	927
186	916
187	910
188	891
189	872
190	853
191	836
192	819
193	801
194	795
195	790
196	799
197	797
198	805
199	810
200	813
201	807
202	798
203	787
204	761
205	742
206	713
207	689
208	674
209	676
210	679
211	688
212	703
213	713
214	730
215	744
216	769
217	786
218	787
219	782
220	760
221	738
222	712
223	714
224	712
225	720
226	718
227	718
228	706
229	694
230	680
231	669
232	671
233	657
234	655
235	654
236	656
237	644
238	654
239	644
240	648
241	641
242	644
243	633
244	629
245	614
246	613
247	599
248	591
249	595
250	596
251	600
252	602
253	612
254	617
255	620
256	615
257	621
258	614
259	615
260	608
261	605
262	594
263	588
264	568
265	560
266	553
267	549
268	543
269	534
270	531
271	522
272	521
273	516
274	506
275	493
276	484
277	469
278	477
279	488
280	505
281	517
282	519
283	503
284	497
285	496
286	496
287	519
288	528
289	539
290	539
291	547
292	540
293	547
294	553
295	563
296	562
297	567
298	573
299	575
300	574
301	567
302	565
303	554
304	543
305	536
306	533
307	525
308	515
309	516
310	500
311	493
312	486
313	481
314	475
315	474
316	470
317	470
318	476
319	464
320	479
321	493
322	493
323	478
324	487
325	488
326	476
327	471
328	490
329	491
330	482
331	487
332	487
333	476
334	470
335	470
336	457
337	453
338	453
339	450
340	443
341	455
342	457
343	453
344	453
345	451
346	437
347	436
348	443
349	445
350	442
351	447
352	451
353	445
354	441
355	450
356	450
357	450
358	453
359	450
360	444
361	449
362	451
363	460
364	463
365	461
366	462
367	456
368	446
369	448
370	457
371	450
372	455
373	451
374	457
375	454
376	453
377	454
378	458
379	452
380	443
381	439
382	428
383	420
384	411
385	406
386	409
387	422
388	427
389	437
390	440
391	445
392	437
393	445
394	446
395	453
396	454
397	458
398	448
399	449
400	444
401	441
402	445
403	457
404	461
405	470
406	471
407	468
408	456
409	443
410	432
411	425
412	416
413	414
414	416
415	414
416	413
417	412
418	406
419	409
420	405
421	400
422	404
423	411
424	406
425	405
426	419
427	421
428	420
429	428
430	439
431	433
432	442
433	454
434	449
435	447
436	449
437	452
438	452
439	456
440	460
441	461
442	451
443	440
444	435
445	433
446	435
447	431
448	430
449	435
450	429
451	427
452	429
453	437
454	432
455	429
456	421
457	420
458	412
459	410
460	417
461	424
462	421
463	423
464	427
465	434
466	432
467	440
468	440
469	440
470	432
471	431
472	421
473	428
474	430
475	436
476	445
477	444
478	452
479	452
480	452
481	438
482	442
483	432
484	431
485	427
486	422
487	418
488	407
489	406
490	414
491	431
492	429
493	442
494	436
495	426
496	421
497	425
498	430
499	432
500	438
501	435
502	439
503	433
504	448
505	453
506	450
507	461
508	468
509	454
510	449
511	451
512	448
513	448
514	450
515	454
516	464
517	465
518	473
519	468
520	476
521	478
522	478
523	460
524	469
