Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	1
36	2
37	5
38	6
39	6
40	6
41	5
42	4
43	4
44	4
45	4
46	4
47	5
48	5
49	5
50	5
51	6
52	5
53	6
54	8
55	8
56	9
57	9
58	10
59	10
60	12
61	13
62	15
63	18
64	19
65	19
66	20
67	20
68	19
69	19
70	21
71	20
72	19
73	20
74	19
75	19
76	21
77	21
78	18
79	19
80	16
81	14
82	16
83	16
84	17
85	17
86	17
87	16
88	16
89	15
90	17
91	17
92	18
93	21
94	21
95	20
96	20
97	20
98	18
99	21
100	23
101	26
102	25
103	26
104	24
105	25
106	25
107	28
108	30
109	35
110	36
111	38
112	39
113	39
114	37
115	37
116	39
117	38
118	41
119	41
120	44
121	44
122	48
123	48
124	50
125	50
126	52
127	54
128	55
129	59
130	62
131	62
132	63
133	68
134	69
135	68
136	73
137	77
138	82
139	86
140	96
141	106
142	125
143	138
144	156
145	169
146	179
147	189
148	205
149	216
150	227
151	230
152	221
153	210
154	195
155	181
156	177
157	174
158	169
159	161
160	150
161	136
162	120
163	110
164	104
165	98
166	93
167	89
168	76
169	66
170	58
171	50
172	46
173	45
174	43
175	41
176	37
177	34
178	31
179	29
180	28
181	28
182	25
183	25
184	23
185	24
186	24
187	24
188	22
189	20
190	17
191	15
192	14
193	13
194	13
195	15
196	16
197	18
198	17
199	20
200	18
201	17
202	18
203	19
204	16
205	16
206	15
207	14
208	14
209	13
210	13
211	13
212	12
213	12
214	13
215	12
216	12
217	13
218	15
219	15
220	14
221	14
222	14
223	13
224	12
225	12
226	12
227	10
228	11
229	11
230	10
231	10
232	12
233	12
234	12
235	12
236	12
237	12
238	11
239	12
240	13
241	13
242	12
243	13
244	12
245	11
246	11
247	12
248	12
249	12
250	12
251	12
252	9
253	11
254	11
255	11
256	10
257	13
258	12
259	12
260	14
261	14
262	13
263	13
264	13
265	11
266	13
267	12
268	12
269	13
270	13
271	12
272	12
273	12
274	11
275	13
276	13
277	15
278	15
279	17
280	15
281	14
282	13
283	12
284	11
285	12
286	12
287	13
288	13
289	12
290	15
291	15
292	16
293	17
294	19
295	19
296	18
297	17
298	17
299	18
300	16
301	18
302	20
303	21
304	21
305	22
306	21
307	22
308	21
309	24
310	24
311	25
312	24
313	25
314	22
315	21
316	22
317	22
318	24
319	24
320	29
321	29
322	32
323	33
324	39
325	40
326	45
327	46
328	52
329	54
330	57
331	60
332	67
333	69
334	73
335	78
336	83
337	84
338	91
339	94
340	98
341	106
342	111
343	115
344	118
345	127
346	130
347	142
348	148
349	152
350	149
351	147
352	144
353	141
354	143
355	145
356	147
357	143
358	149
359	152
360	151
361	150
362	150
363	145
364	138
365	138
366	136
367	130
368	120
369	114
370	102
371	93
372	88
373	83
374	76
375	74
376	70
377	67
378	61
379	60
380	54
381	51
382	44
383	40
384	36
385	32
386	30
387	28
388	27
389	24
390	24
391	21
392	20
393	19
394	18
395	16
396	14
397	12
398	11
399	12
400	10
401	9
402	9
403	8
404	7
405	8
406	8
407	7
408	8
409	7
410	5
411	4
412	3
413	2
414	2
415	3
416	3
417	4
418	4
419	4
420	4
421	3
422	3
423	3
424	3
425	2
426	2
427	2
428	1
429	1
430	1
431	1
432	1
433	1
434	2
435	2
436	2
437	2
438	1
439	1
440	1
441	1
442	1
443	1
444	1
445	1
446	1
447	1
448	1
449	0
450	1
451	1
452	1
453	1
454	2
455	1
456	1
457	1
458	1
459	0
460	0
461	0
462	1
463	2
464	2
465	3
466	3
467	3
468	3
469	4
470	3
471	4
472	4
473	5
474	4
475	4
476	4
477	4
478	3
479	4
480	5
481	6
482	6
483	8
484	9
485	8
486	8
487	9
488	9
489	9
490	10
491	10
492	10
493	11
494	12
495	13
496	15
497	15
498	14
499	15
500	15
501	14
502	14
503	15
504	15
505	16
506	17
507	19
508	18
509	17
510	19
511	20
512	19
513	19
514	20
515	17
516	16
517	15
518	15
519	14
520	13
521	13
522	11
523	10
524	10
