Amplitude ( ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	2
14	6
15	10
16	20
17	35
18	46
19	47
20	50
21	45
22	34
23	28
24	32
25	43
26	63
27	84
28	112
29	139
30	153
31	152
32	146
33	139
34	125
35	112
36	104
37	96
38	82
39	69
40	58
41	51
42	42
43	36
44	32
45	32
46	30
47	30
48	28
49	27
50	25
51	25
52	26
53	29
54	31
55	34
56	31
57	32
58	32
59	30
60	31
61	34
62	37
63	35
64	37
65	35
66	34
67	31
68	31
69	33
70	34
71	35
72	39
73	42
74	43
75	42
76	44
77	43
78	40
79	39
80	41
81	39
82	37
83	36
84	33
85	30
86	30
87	31
88	32
89	33
90	36
91	33
92	33
93	32
94	34
95	32
96	34
97	32
98	31
99	30
100	30
101	29
102	30
103	31
104	33
105	33
106	34
107	33
108	33
109	31
110	33
111	37
112	39
113	40
114	41
115	42
116	37
117	37
118	38
119	35
120	32
121	33
122	35
123	34
124	36
125	38
126	39
127	36
128	38
129	39
130	38
131	37
132	35
133	30
134	27
135	25
136	24
137	26
138	30
139	30
140	31
141	34
142	35
143	35
144	37
145	41
146	41
147	44
148	49
149	54
150	57
151	60
152	57
153	56
154	57
155	60
156	60
157	60
158	60
159	57
160	54
161	52
162	55
163	57
164	56
165	54
166	53
167	49
168	48
169	47
170	47
171	49
172	51
173	51
174	52
175	50
176	51
177	51
178	51
179	51
180	51
181	51
182	50
183	48
184	49
185	51
186	51
187	53
188	55
189	57
190	57
191	58
192	58
193	56
194	52
195	48
196	46
197	45
198	45
199	48
200	49
201	46
202	46
203	45
204	41
205	40
206	40
207	39
208	39
209	40
210	40
211	42
212	40
213	39
214	43
215	44
216	44
217	47
218	48
219	46
220	45
221	46
222	45
223	48
224	48
225	47
226	48
227	45
228	40
229	37
230	38
231	36
232	37
233	37
234	39
235	38
236	37
237	36
238	35
239	34
240	35
241	37
242	38
243	39
244	39
245	38
246	37
247	38
248	39
249	37
250	37
251	36
252	36
253	36
254	39
255	40
256	43
257	46
258	44
259	44
260	43
261	39
262	36
263	39
264	39
265	39
266	38
267	38
268	32
269	33
270	32
271	32
272	29
273	31
274	30
275	31
276	32
277	34
278	35
279	35
280	37
281	36
282	37
283	37
284	36
285	36
286	37
287	36
288	41
289	40
290	39
291	38
292	39
293	36
294	36
295	36
296	36
297	34
298	33
299	33
300	35
301	37
302	38
303	38
304	40
305	38
306	36
307	37
308	37
309	37
310	35
311	36
312	36
313	37
314	36
315	37
316	36
317	36
318	34
319	33
320	35
321	37
322	36
323	38
324	39
325	39
326	38
327	41
328	41
329	41
330	41
331	40
332	36
333	34
334	33
335	33
336	35
337	37
338	39
339	39
340	38
341	34
342	31
343	30
344	31
345	32
346	33
347	36
348	35
349	34
350	31
351	29
352	26
353	28
354	25
355	26
356	27
357	26
358	24
359	23
360	22
361	21
362	23
363	22
364	22
365	21
366	19
367	16
368	16
369	16
370	16
371	16
372	15
373	14
374	14
375	12
376	13
377	14
378	14
379	13
380	13
381	13
382	12
383	10
384	10
385	10
386	10
387	10
388	9
389	10
390	10
391	10
392	10
393	9
394	9
395	8
396	7
397	7
398	6
399	6
400	6
401	6
402	6
403	7
404	6
405	5
406	5
407	5
408	5
409	6
410	6
411	6
412	7
413	8
414	7
415	6
416	6
417	5
418	5
419	6
420	7
421	7
422	6
423	5
424	4
425	5
426	4
427	5
428	6
429	7
430	7
431	7
432	7
433	7
434	6
435	6
436	7
437	7
438	7
439	7
440	7
441	7
442	5
443	5
444	5
445	6
446	6
447	6
448	8
449	8
450	9
451	8
452	8
453	9
454	9
455	11
456	14
457	16
458	17
459	17
460	18
461	18
462	20
463	21
464	26
465	25
466	31
467	35
468	40
469	44
470	49
471	50
472	53
473	55
474	55
475	62
476	66
477	71
478	75
479	84
480	85
481	90
482	95
483	103
484	108
485	116
486	123
487	124
488	126
489	128
490	129
491	131
492	136
493	138
494	141
495	144
496	150
497	148
498	152
499	152
500	158
501	157
502	160
503	161
504	162
505	158
506	156
507	159
508	162
509	165
510	163
511	162
512	154
513	145
514	137
515	134
516	126
517	122
518	116
519	112
520	103
521	95
522	88
523	88
524	78
