Amplitude (ADC Kanal) -  (Histogram)	Counts -  (Histogram)
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	3
35	12
36	31
37	47
38	72
39	93
40	104
41	101
42	100
43	91
44	85
45	83
46	84
47	87
48	88
49	84
50	81
51	82
52	85
53	87
54	92
55	97
56	98
57	95
58	96
59	99
60	103
61	111
62	116
63	119
64	115
65	109
66	102
67	99
68	92
69	94
70	97
71	97
72	97
73	109
74	114
75	120
76	124
77	129
78	123
79	118
80	113
81	109
82	100
83	95
84	91
85	85
86	80
87	78
88	81
89	81
90	82
91	86
92	92
93	87
94	92
95	93
96	94
97	90
98	93
99	90
100	91
101	89
102	90
103	89
104	87
105	85
106	90
107	91
108	91
109	97
110	99
111	97
112	102
113	107
114	107
115	109
116	108
117	101
118	99
119	98
120	93
121	93
122	95
123	96
124	91
125	94
126	99
127	99
128	99
129	103
130	105
131	100
132	97
133	96
134	93
135	93
136	94
137	97
138	98
139	102
140	104
141	106
142	114
143	120
144	126
145	129
146	135
147	136
148	142
149	145
150	150
151	155
152	156
153	158
154	159
155	153
156	144
157	137
158	128
159	124
160	121
161	123
162	127
163	133
164	130
165	132
166	125
167	123
168	116
169	115
170	116
171	119
172	118
173	117
174	116
175	115
176	116
177	118
178	122
179	124
180	127
181	125
182	127
183	127
184	130
185	130
186	133
187	132
188	128
189	124
190	124
191	118
192	112
193	108
194	104
195	99
196	103
197	105
198	112
199	116
200	116
201	113
202	112
203	106
204	102
205	100
206	93
207	92
208	85
209	84
210	87
211	94
212	99
213	103
214	104
215	102
216	106
217	108
218	114
219	118
220	124
221	121
222	118
223	112
224	110
225	108
226	107
227	105
228	107
229	104
230	98
231	96
232	97
233	96
234	96
235	99
236	101
237	101
238	103
239	102
240	98
241	101
242	101
243	98
244	103
245	104
246	99
247	98
248	98
249	92
250	89
251	87
252	83
253	81
254	77
255	74
256	75
257	73
258	73
259	74
260	78
261	76
262	74
263	68
264	69
265	63
266	59
267	57
268	54
269	47
270	46
271	44
272	42
273	40
274	40
275	38
276	40
277	39
278	40
279	39
280	40
281	37
282	39
283	39
284	42
285	43
286	44
287	43
288	41
289	42
290	40
291	38
292	38
293	39
294	34
295	35
296	37
297	35
298	35
299	36
300	36
301	36
302	36
303	35
304	34
305	34
306	30
307	29
308	28
309	28
310	26
311	27
312	26
313	27
314	26
315	27
316	26
317	28
318	30
319	30
320	28
321	27
322	25
323	22
324	24
325	26
326	25
327	28
328	28
329	27
330	29
331	29
332	26
333	24
334	24
335	23
336	25
337	26
338	27
339	27
340	26
341	26
342	24
343	24
344	24
345	25
346	24
347	27
348	30
349	30
350	33
351	37
352	39
353	38
354	41
355	50
356	52
357	58
358	67
359	73
360	77
361	86
362	92
363	103
364	115
365	124
366	133
367	145
368	155
369	164
370	173
371	190
372	205
373	213
374	228
375	239
376	256
377	270
378	286
379	302
380	318
381	329
382	338
383	345
384	346
385	355
386	363
387	375
388	392
389	405
390	407
391	415
392	423
393	423
394	429
395	433
396	431
397	418
398	410
399	396
400	385
401	367
402	363
403	360
404	353
405	342
406	326
407	306
408	284
409	268
410	247
411	233
412	216
413	194
414	177
415	166
416	157
417	143
418	138
419	128
420	120
421	110
422	107
423	101
424	99
425	95
426	91
427	92
428	85
429	76
430	74
431	70
432	63
433	66
434	65
435	62
436	62
437	61
438	57
439	53
440	50
441	48
442	42
443	40
444	42
445	40
446	39
447	41
448	39
449	38
450	37
451	35
452	34
453	32
454	32
455	32
456	34
457	32
458	33
459	31
460	30
461	29
462	30
463	28
464	26
465	26
466	25
467	24
468	25
469	25
470	23
471	21
472	21
473	20
474	20
475	21
476	22
477	20
478	18
479	18
480	17
481	16
482	15
483	16
484	16
485	15
486	15
487	16
488	17
489	14
490	14
491	15
492	16
493	15
494	17
495	17
496	16
497	14
498	14
499	13
500	13
501	14
502	16
503	16
504	16
505	16
506	16
507	14
508	15
509	16
510	15
511	14
512	15
513	14
514	12
515	14
516	13
517	13
518	13
519	13
520	13
521	12
522	10
523	10
524	11
